Skill group,Skill component,Stage,Task,Domain
CRITICAL SELF-REFLECTION SKILLS,Internal self-awareness,Development,Organisational Development,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,Self-regulation,Development,Organisational Development,Entrepreneurship
EVALUATIVE SKILLS,Comparative reasoning,Development,Organisational Development,Entrepreneurship
EVALUATIVE SKILLS,Decision making,Development,Organisational Development,Entrepreneurship
EVALUATIVE SKILLS,Evidence gathering,Development,Organisational Development,Entrepreneurship
EVALUATIVE SKILLS,Problem solving,Development,Organisational Development,Entrepreneurship
ORGANISATIONAL SKILLS,Forecasting,Development,Organisational Development,Entrepreneurship
ORGANISATIONAL SKILLS,Knowledge brokering,Development,Organisational Development,Entrepreneurship
ORGANISATIONAL SKILLS,Modelling,Development,Organisational Development,Entrepreneurship
ORGANISATIONAL SKILLS,Organising,Development,Organisational Development,Entrepreneurship
ORGANISATIONAL SKILLS,Prioritisation,Development,Organisational Development,Entrepreneurship
RELATIONAL SKILLS,Active listening,Development,Organisational Development,Entrepreneurship
RELATIONAL SKILLS,Collaboration,Development,Organisational Development,Entrepreneurship
RELATIONAL SKILLS,Communication,Development,Organisational Development,Entrepreneurship
RELATIONAL SKILLS,Delegation,Development,Organisational Development,Entrepreneurship
RELATIONAL SKILLS,Influencing,Development,Organisational Development,Entrepreneurship
RELATIONAL SKILLS,Negotiation,Development,Organisational Development,Entrepreneurship
CONCEPTUAL SKILLS,Abstract thinking,Development,Project Management,Entrepreneurship
CONCEPTUAL SKILLS,Creativity,Development,Project Management,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,External self-awareness,Development,Project Management,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,Internal self-awareness,Development,Project Management,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,Self-regulation,Development,Project Management,Entrepreneurship
RELATIONAL SKILLS,Collaboration,Development,Project Management,Entrepreneurship
RELATIONAL SKILLS,Communication,Development,Project Management,Entrepreneurship
RELATIONAL SKILLS,Feedback,Development,Project Management,Entrepreneurship
RELATIONAL SKILLS,Influencing,Development,Project Management,Entrepreneurship
RELATIONAL SKILLS,Negotiation,Development,Project Management,Entrepreneurship
CONCEPTUAL SKILLS,Ability to learn,Identification,Research,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Identification,Research,Entrepreneurship
EVALUATIVE SKILLS,Environment scanning,Identification,Research,Entrepreneurship
EVALUATIVE SKILLS,Evidence gathering,Identification,Research,Entrepreneurship
EVALUATIVE SKILLS,Interpretation,Identification,Research,Entrepreneurship
EVALUATIVE SKILLS,Pattern recognition,Identification,Research,Entrepreneurship
ORGANISATIONAL SKILLS,Knowledge brokering,Identification,Research,Entrepreneurship
ORGANISATIONAL SKILLS,Technical skills,Identification,Research,Entrepreneurship
CONCEPTUAL SKILLS,Abstract thinking,Development,Risk Management,Entrepreneurship
CONCEPTUAL SKILLS,Mental agility,Development,Risk Management,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Development,Risk Management,Entrepreneurship
CONCEPTUAL SKILLS,Systems thinking,Development,Risk Management,Entrepreneurship
EVALUATIVE SKILLS,Comparative reasoning,Development,Risk Management,Entrepreneurship
EVALUATIVE SKILLS,Counterfactual thinking,Development,Risk Management,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Development,Risk Management,Entrepreneurship
EVALUATIVE SKILLS,Environment scanning,Development,Risk Management,Entrepreneurship
EVALUATIVE SKILLS,Interpretation,Development,Risk Management,Entrepreneurship
EVALUATIVE SKILLS,Pattern recognition,Development,Risk Management,Entrepreneurship
RELATIONAL SKILLS,Active listening,Development,Risk Management,Entrepreneurship
CONCEPTUAL SKILLS,Creativity,Development,Strategic Management,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Development,Strategic Management,Entrepreneurship
CONCEPTUAL SKILLS,Synthesis,Development,Strategic Management,Entrepreneurship
EVALUATIVE SKILLS,Comparative reasoning,Development,Strategic Management,Entrepreneurship
EVALUATIVE SKILLS,Counterfactual thinking,Development,Strategic Management,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Development,Strategic Management,Entrepreneurship
EVALUATIVE SKILLS,Decision making,Development,Strategic Management,Entrepreneurship
EVALUATIVE SKILLS,Evidence gathering,Development,Strategic Management,Entrepreneurship
EVALUATIVE SKILLS,Interpretation,Development,Strategic Management,Entrepreneurship
EVALUATIVE SKILLS,Pattern recognition,Development,Strategic Management,Entrepreneurship
ORGANISATIONAL SKILLS,Forecasting,Development,Strategic Management,Entrepreneurship
ORGANISATIONAL SKILLS,Modelling,Development,Strategic Management,Entrepreneurship
RELATIONAL SKILLS,Active listening,Development,Strategic Management,Entrepreneurship
RELATIONAL SKILLS,Communication,Development,Strategic Management,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Development,Sustainability Management,Entrepreneurship
CONCEPTUAL SKILLS,Systems thinking,Development,Sustainability Management,Entrepreneurship
EVALUATIVE SKILLS,Critical analysis,Development,Sustainability Management,Entrepreneurship
EVALUATIVE SKILLS,Decision making,Development,Sustainability Management,Entrepreneurship
EVALUATIVE SKILLS,Environment scanning,Development,Sustainability Management,Entrepreneurship
CONCEPTUAL SKILLS,Creativity,Development,Venture formation,Entrepreneurship
CONCEPTUAL SKILLS,Strategic thinking,Development,Venture formation,Entrepreneurship
ORGANISATIONAL SKILLS,Organising,Development,Venture formation,Entrepreneurship
ORGANISATIONAL SKILLS,Prioritisation,Development,Venture formation,Entrepreneurship
RELATIONAL SKILLS,Delegation,Development,Venture formation,Entrepreneurship
RELATIONAL SKILLS,Feedback,Development,Venture formation,Entrepreneurship
RELATIONAL SKILLS,Influencing,Development,Venture formation,Entrepreneurship
CONCEPTUAL SKILLS,Abstract thinking,Development,Vision Socialisation,Entrepreneurship
CONCEPTUAL SKILLS,Creativity,Development,Vision Socialisation,Entrepreneurship
RELATIONAL SKILLS,Communication,Development,Vision Socialisation,Entrepreneurship
RELATIONAL SKILLS,Influencing,Development,Vision Socialisation,Entrepreneurship
RELATIONAL SKILLS,Negotiation,Development,Vision Socialisation,Entrepreneurship
CRITICAL SELF-REFLECTION SKILLS,Empathy,Growth,Customer Service,Commercialisation
CRITICAL SELF-REFLECTION SKILLS,Self-regulation,Growth,Customer Service,Commercialisation
EVALUATIVE SKILLS,Problem solving,Growth,Customer Service,Commercialisation
RELATIONAL SKILLS,Active listening,Growth,Customer Service,Commercialisation
RELATIONAL SKILLS,Communication,Growth,Customer Service,Commercialisation
RELATIONAL SKILLS,Feedback,Growth,Customer Service,Commercialisation
CONCEPTUAL SKILLS,Ability to learn,Identification,Market Research,Commercialisation
CONCEPTUAL SKILLS,Strategic thinking,Identification,Market Research,Commercialisation
EVALUATIVE SKILLS,Environment scanning,Identification,Market Research,Commercialisation
EVALUATIVE SKILLS,Evidence gathering,Identification,Market Research,Commercialisation
EVALUATIVE SKILLS,Pattern recognition,Identification,Market Research,Commercialisation
CONCEPTUAL SKILLS,Creativity,Development,Marketing,Commercialisation
CONCEPTUAL SKILLS,Strategic thinking,Development,Marketing,Commercialisation
CRITICAL SELF-REFLECTION SKILLS,Empathy,Development,Marketing,Commercialisation
EVALUATIVE SKILLS,Critical analysis,Development,Marketing,Commercialisation
EVALUATIVE SKILLS,Environment scanning,Development,Marketing,Commercialisation
RELATIONAL SKILLS,Collaboration,Development,Marketing,Commercialisation
RELATIONAL SKILLS,Communication,Development,Marketing,Commercialisation
CONCEPTUAL SKILLS,Mental agility,Growth,Sales,Commercialisation
CRITICAL SELF-REFLECTION SKILLS,External self-awareness,Growth,Sales,Commercialisation
CRITICAL SELF-REFLECTION SKILLS,Internal self-awareness,Growth,Sales,Commercialisation
CRITICAL SELF-REFLECTION SKILLS,Self-regulation,Growth,Sales,Commercialisation
RELATIONAL SKILLS,Active listening,Growth,Sales,Commercialisation
RELATIONAL SKILLS,Communication,Growth,Sales,Commercialisation
RELATIONAL SKILLS,Feedback,Growth,Sales,Commercialisation
ORGANISATIONAL SKILLS,Modelling,Development,Marketing,Commercialisation
RELATIONAL SKILLS,Influencing,Growth,Sales,Commercialisation
EVALUATIVE SKILLS,Comparative reasoning,Development,Marketing,Commercialisation
ORGANISATIONAL SKILLS,Prioritisation,Growth,Sales,Commercialisation
ORGANISATIONAL SKILLS,Organising,Development,Marketing,Commercialisation
ORGANISATIONAL SKILLS,Forecasting,Development,Marketing,Commercialisation
RELATIONAL SKILLS,Delegation,Development,Marketing,Commercialisation
